timestamp,payment_method,bank_gateway,success_rate,avg_latency_ms,transaction_volume
2026-08-08T00:00:00,UPI,NationalPay Gateway,0.9702,728.8,225
2026-08-08T01:00:00,UPI,NationalPay Gateway,0.9758,889.7,205
2026-08-08T02:00:00,UPI,NationalPay Gateway,0.9727,726.3,195
2026-08-08T03:00:00,UPI,NationalPay Gateway,0.9607,876.4,185
2026-08-08T04:00:00,UPI,NationalPay Gateway,0.976,790.7,146
2026-08-08T05:00:00,UPI,NationalPay Gateway,0.96,871.9,112
2026-08-08T06:00:00,UPI,NationalPay Gateway,0.9691,809.5,133
2026-08-08T07:00:00,UPI,NationalPay Gateway,0.9639,816.9,126
2026-08-08T08:00:00,UPI,NationalPay Gateway,0.9641,931.9,138
2026-08-08T09:00:00,UPI,NationalPay Gateway,0.9756,1022.6,172
2026-08-08T10:00:00,UPI,NationalPay Gateway,0.9643,939.1,208
2026-08-08T11:00:00,UPI,NationalPay Gateway,0.9438,769.5,212
2026-08-08T12:00:00,UPI,NationalPay Gateway,0.9835,886.4,223
2026-08-08T13:00:00,UPI,NationalPay Gateway,0.9788,926.6,233
2026-08-08T14:00:00,UPI,NationalPay Gateway,0.9758,782.5,187
2026-08-08T15:00:00,UPI,NationalPay Gateway,0.9593,864.0,160
2026-08-08T16:00:00,UPI,NationalPay Gateway,0.9566,755.2,153
2026-08-08T17:00:00,UPI,NationalPay Gateway,0.9585,824.3,97
2026-08-08T18:00:00,UPI,NationalPay Gateway,0.9555,781.2,117
2026-08-08T19:00:00,UPI,NationalPay Gateway,0.9691,910.1,126
2026-08-08T20:00:00,UPI,NationalPay Gateway,0.9655,831.7,147
2026-08-08T21:00:00,UPI,NationalPay Gateway,0.9577,759.6,170
2026-08-08T22:00:00,UPI,NationalPay Gateway,0.9738,1021.9,207
2026-08-08T23:00:00,UPI,NationalPay Gateway,0.9489,864.2,208
2026-08-09T00:00:00,UPI,NationalPay Gateway,0.9602,715.5,265
2026-08-09T01:00:00,UPI,NationalPay Gateway,0.9618,753.0,197
2026-08-09T02:00:00,UPI,NationalPay Gateway,0.9621,882.6,210
2026-08-09T03:00:00,UPI,NationalPay Gateway,0.9738,948.3,138
2026-08-09T04:00:00,UPI,NationalPay Gateway,0.9744,923.0,128
2026-08-09T05:00:00,UPI,NationalPay Gateway,0.9522,831.3,130
2026-08-09T06:00:00,UPI,NationalPay Gateway,0.9759,939.4,135
2026-08-09T07:00:00,UPI,NationalPay Gateway,0.9498,882.8,105
2026-08-09T08:00:00,UPI,NationalPay Gateway,0.9588,940.1,156
2026-08-09T09:00:00,UPI,NationalPay Gateway,0.9644,1016.5,153
2026-08-09T10:00:00,UPI,NationalPay Gateway,0.9562,806.0,177
2026-08-09T11:00:00,UPI,NationalPay Gateway,0.9717,955.6,196
2026-08-09T12:00:00,UPI,NationalPay Gateway,0.973,834.0,214
2026-08-09T13:00:00,UPI,NationalPay Gateway,0.9862,930.7,204
2026-08-09T14:00:00,UPI,NationalPay Gateway,0.9675,880.9,191
2026-08-09T15:00:00,UPI,NationalPay Gateway,0.9829,833.7,171
2026-08-09T16:00:00,UPI,NationalPay Gateway,0.9709,942.9,135
2026-08-09T17:00:00,UPI,NationalPay Gateway,0.9692,839.6,130
2026-08-09T18:00:00,UPI,NationalPay Gateway,0.963,859.4,118
2026-08-09T19:00:00,UPI,NationalPay Gateway,0.9594,966.1,142
2026-08-09T20:00:00,UPI,NationalPay Gateway,0.9471,784.9,119
2026-08-09T21:00:00,UPI,NationalPay Gateway,0.9686,802.9,171
2026-08-09T22:00:00,UPI,NationalPay Gateway,0.9433,771.0,212
2026-08-09T23:00:00,UPI,NationalPay Gateway,0.9652,891.6,189
2026-08-10T00:00:00,UPI,NationalPay Gateway,0.9702,661.1,208
2026-08-10T01:00:00,UPI,NationalPay Gateway,0.9724,789.6,193
2026-08-10T02:00:00,UPI,NationalPay Gateway,0.935,897.3,190
